Mod:Item:MetaData, Localized Name
ic2:itemcropseed:0, Plumbilia Crop Seed
ic2:itemcropanalyzer, Cropnalyzer
ic2:coffee:0, Dark Coffee
ic2:coffee:1, Dark Coffee
ic2:coffee:2, Coffee
ic2:itemteas:0, Cold Tea
ic2:itemteas:1, Black Tea
ic2:itemteas:2, Tea
ic2:itemteas:3, Iced Tea
ic2:itemupgradecontainer, Upgrade Container
ic2:ic2upgrades:0, Overclocker Upgrade
ic2:ic2upgrades:1, Transformer Upgrade
ic2:ic2upgrades:2, Energy Storage Upgrade
ic2:ic2upgrades:3, Redstone Sensitivity Upgrade
ic2:ic2upgrades:4, Redstone Inverter Upgrade
ic2:ic2upgrades:5, Basic Import Upgrade
ic2:ic2upgrades:6, Import Upgrade
ic2:ic2upgrades:7, Basic Export Upgrade
ic2:ic2upgrades:8, Export Upgrade
ic2:ic2upgrades:9, Muffler Upgrade
ic2:ic2upgrades:10, Mute Upgrade
ic2:ic2upgrades:11, Exp Collector Upgrade
ic2:ic2upgrades:12, Efficency Upgrade
ic2:ic2upgrades:13, Energy Storage Multiplier Upgrade
ic2:ic2upgrades:14, Loudness Upgrade
ic2:ic2upgrades:15, RoundRobin Export Upgrade
ic2:ic2upgrades:16, Slowness Upgrade
ic2:ic2upgrades:17, Filtered Basic Import Upgrade
ic2:ic2upgrades:18, Filtered Import Upgrade
ic2:ic2upgrades:19, Filtered Basic Export Upgrade
ic2:ic2upgrades:20, Filtered Export Upgrade
ic2:ic2upgrades:21, Basic Fluid Import Upgrade
ic2:ic2upgrades:22, Fluid Import Upgrade
ic2:ic2upgrades:23, Basic Fluid Export Upgrade
ic2:ic2upgrades:24, Fluid Export Upgrade
ic2:ic2upgrades:25, Filtered Basic Fluid Import Upgrade
ic2:ic2upgrades:26, Filtered Fluid Import Upgrade
ic2:ic2upgrades:27, Filtered Basic Fluid Export Upgrade
ic2:ic2upgrades:28, Filtered Fluid Export Upgrade
ic2:ic2upgrades:29, Reactor Track Upgrade
ic2:ic2upgrades:30, CobbleGen Upgrade
ic2:ic2upgrades:31, Crafting Upgrade
ic2:ic2upgrades:32, Quantum Overclocker Upgrade
ic2:ic2upgrades:33, Efficient Sawblade Upgrade
ic2:ic2upgrades:34, Durable Sawblade Upgrade
ic2:ic2upgrades:3000, Creative Upgrade
ic2:itemchargepadupgrade:0, Crystalizor Upgrade Kit
ic2:itemchargepadupgrade:1, MFS Unit Upgrade Kit
ic2:itemchargepadupgrade:2, Lapotronic Upgrade Kit
ic2:itemchargepadupgrade:3, Fission Upgrade Kit
ic2:itemchargepadupgrade:4, Damage Conversion Module
ic2:itemchargepadupgrade:5, Drain Conversion Module
ic2:itemchargepadupgrade:6, Proximity Booster Module
ic2:itemchargepadupgrade:7, Wide-Band Booster Module
ic2:itemchargepadupgrade:8, Armour Priority Module
ic2:itemchargepadupgrade:9, Basic Field Expansion Module
ic2:itemchargepadupgrade:10, Field Expansion Module
ic2:itemchargepadupgrade:11, Advanced Field Expansion Module
ic2:inventoryupgrades:0, Automation Upgrade
ic2:inventoryupgrades:1, Machine Access Upgrade
ic2:inventoryupgrades:2, Rotation Disabler Upgrade
ic2:inventoryupgrades:3, SlotType Upgrade
ic2:inventoryupgrades:4, Slot Access Upgrade
ic2:inventoryupgrades:5, Slot Side Upgrade
ic2:inventoryupgrades:6, Redstone Deconductor Upgrade
ic2:inventoryupgrades:7, Slot Diversity Upgrade
ic2:inventoryupgrades:8, Stack Diversity Upgrade
ic2:inventoryupgrades:9, Item Limiter Upgrade
ic2:inventoryupgrades:10, Stack Limiter Upgrade
ic2:itembatsu, Single-Use Battery
ic2:itembatre:0, RE-Battery
ic2:itembatre:0, RE-Battery
ic2:itembatcrystal, Energy Crystal
ic2:itembatlamacrystal, Lapotron Crystal
ic2:itempesd, PESD
ic2:quantumaccumulator, Quantum Accumulator
ic2:bigquantumaccumulator, Big Quantum Accumulator
ic2:itemdrills:0, Mining Drill
ic2:itemdrills:0, Mining Drill
ic2:itemdrills:1, Diamond Drill
ic2:itemdrills:1, Diamond Drill
ic2:itemtoolchainsaw, Chainsaw
ic2:itemtoolhoe, Electric Hoe
ic2:itemtreetapelectric, Electric Treetap
ic2:electricsprayer, Electric Sprayer
ic2:itemtoolwrenchelectric, Electric Wrench
ic2:precisionwrench, Precision Wrench
ic2:itemobscurator, Obscurator
ic2:itemmetascanners:0, OD Scanner
ic2:itemmetascanners:0, OD Scanner
ic2:itemmetascanners:1, OV Scanner
ic2:itemmetascanners:1, OV Scanner
ic2:itemmetascanners:2, Ranged OD Scanner
ic2:itemmetascanners:2, Ranged OD Scanner
ic2:itemmetascanners:3, Ranged OV Scanner
ic2:itemmetascanners:3, Ranged OV Scanner
ic2:itemmetascanners:4, Big Ranged OD Scanner
ic2:itemmetascanners:4, Big Ranged OD Scanner
ic2:itemmetascanners:5, Big Ranged OV Scanner
ic2:itemmetascanners:5, Big Ranged OV Scanner
ic2:itemmetascanners:6, Low OVD Scanner
ic2:itemmetascanners:6, Low OVD Scanner
ic2:itemmetascanners:7, Medium OVD Scanner
ic2:itemmetascanners:7, Medium OVD Scanner
ic2:itemmetascanners:8, High OVD Scanner
ic2:itemmetascanners:8, High OVD Scanner
ic2:itemmetascanners:9, Adjustable OVD Scanner
ic2:itemmetascanners:9, Adjustable OVD Scanner
ic2:itemmetascanners:10, Quarry Scanner
ic2:itemmetascanners:10, Quarry Scanner
ic2:itemmetascanners:11, Fluid Scanner
ic2:itemmetascanners:11, Fluid Scanner
ic2:itemmetascanners:12, Filtered Fluid Scanner
ic2:itemmetascanners:12, Filtered Fluid Scanner
ic2:itemmetascanners:13, Filtered Scanner
ic2:itemmetascanners:13, Filtered Scanner
ic2:itemnanosabers:0, Nano Saber
ic2:itemnanosabers:0, Nano Saber
ic2:itemtoolmininglaser, Mining Laser
ic2:itemmowingtool, Mowing Tool
ic2:itemportableteleporter, Portable Teleporter
ic2:itemarmorbronzehelmet, Bronze Helmet
ic2:itemarmorbronzechestplate, Bronze Chestplate
ic2:itemarmorbronzelegs, Bronze Leggings
ic2:itemarmorbronzeboots, Bronze Boots
ic2:itemarmoralloyboots, Composite Boots
ic2:itemarmoralloyleggings, Composite Pants
ic2:itemarmoralloychestplate, Composite Vest
ic2:itemarmoralloyhelmet, Composite Helmet
ic2:itemarmorrubboots, Rubber Boots
ic2:itemarmorhazmatleggings, Hazmat Suit Leggings
ic2:itemarmorhazmatchestplate, Hazmat Suit
ic2:itemarmorhazmathelmet, Scuba Helmet
ic2:bronzeshield, Bronze Shield
ic2:platedshield, Plated Shield
ic2:nanoshield, Nano Shield
ic2:itemarmorcfpack, CF Backpack
ic2:itemarmorjetpack, Jetpack
ic2:itemstaticboots, Static Boots
ic2:itemnightvisiongoggles, Nightvision Goggles
ic2:itemsolarhelmets:0, Solar Helmet
ic2:itemsolarhelmets:1, Advanced Solar Helmet
ic2:itemarmorbatpack, BatPack
ic2:itemarmorlappack, Lappack
ic2:itemarmorquantumpack, Quantum Pack
ic2:itemarmorindustrialbelt, Industrial Belt
ic2:itemarmorjetpackelectric, Electric Jetpack
ic2:itemarmorjetpacknuclear, Nuclear Jetpack
ic2:itemarmorcombinedjetpack, Compacted Jetpack
ic2:itemarmornuclearcombindedjetpack, Compacted Nuclear Jetpack
ic2:itemarmornanoboots, NanoSuit Boots
ic2:itemarmornanolegs, NanoSuit Leggings
ic2:itemarmornanochestplate, NanoSuit Bodyarmor
ic2:itemarmornanohelmet, NanoSuit Helmet
ic2:itemarmorquantumboots, QuantumSuit Boots
ic2:itemarmorquantumlegs, QuantumSuit Leggings
ic2:itemarmorquantumchestplate, QuantumSuit Bodyarmor
ic2:itemarmorquantumhelmet, QuantumSuit Helmet
ic2:itemquantumarmorjetpack, QuantumSuit BodyJetplate
ic2:itemquantumarmornuclearjetplate, Nuclear QuantumSuit BodyJetplate
ic2:itemreactorrods:0, Uranium Cell
ic2:itemreactorrods:3, Redstone Enriched Uranium Cell
ic2:itemreactorrods:6, Blaze Enriched Uranium Cell
ic2:itemreactorrods:9, EnderPearl Enriched Uranium Cell
ic2:itemreactorrods:12, NetherStar Enriched Uranium Cell
ic2:itemreactorrods:15, Charcoal Enriched Uranium Cell
ic2:itemreactorrods:1, Dual Uranium Cell
ic2:itemreactorrods:4, Redstone Enriched Dual Uranium Cell
ic2:itemreactorrods:7, Blaze Enriched Dual Uranium Cell
ic2:itemreactorrods:10, EnderPearl Enriched Dual Uranium Cell
ic2:itemreactorrods:13, NetherStar Enriched Dual Uranium Cell
ic2:itemreactorrods:16, Charcoal Enriched Dual Uranium Cell
ic2:itemreactorrods:2, Quad Uranium Cell
ic2:itemreactorrods:5, Redstone Enriched Quad Uranium Cell
ic2:itemreactorrods:8, Blaze Enriched Quad Uranium Cell
ic2:itemreactorrods:11, EnderPearl Enriched Quad Uranium Cell
ic2:itemreactorrods:14, NetherStar Enriched Quad Uranium Cell
ic2:itemreactorrods:17, Charcoal Enriched Quad Uranium Cell
ic2:itemdepletedrods:0, Depleted Isotope Cell
ic2:itemdepletedrods:1, Depleted Redstone Isotope Cell
ic2:itemdepletedrods:2, Depleted Blaze Isotope Cell
ic2:itemdepletedrods:3, Depleted EnderPearl Isotope Cell
ic2:itemdepletedrods:4, Depleted NetherStar Isotope Cell
ic2:itemdepletedrods:5, Depleted Charcoal Isotope Cell
ic2:itemreactorplating:0, Reactor Plating
ic2:itemreactorplating:1, Heat-Capacity Reactor Plating
ic2:itemreactorplating:2, Containment Reactor Plating
ic2:itemheatstorage:0, 10k Coolant Cell
ic2:itemheatstorage:1, 30k Coolant Cell
ic2:itemheatstorage:2, 60k Coolant Cell
ic2:itemheatvent:0, Heat Vent
ic2:itemheatvent:1, Reactor Heat Vent
ic2:itemheatvent:2, Overclocked Heat Vent
ic2:itemheatvent:3, Advanced Heat Vent
ic2:itemheatvent:10, Steam Vent
ic2:itemheatvent:11, Reactor Steam Vent
ic2:itemheatvent:12, Overclocked Steam Vent
ic2:itemheatvent:13, Advanced Steam Vent
ic2:itemheatvent:20, Electric Heat Vent
ic2:itemheatvent:21, Electric Reactor Heat Vent
ic2:itemheatvent:22, Electric Overclocked Heat Vent
ic2:itemheatvent:23, Electric Advanced Heat Vent
ic2:itemheatswtiches:0, Heat Exchanger
ic2:itemheatswtiches:1, Reactor Heat Exchanger
ic2:itemheatswtiches:2, Component Heat Exchanger
ic2:itemheatswtiches:3, Advanced Heat Exchanger
ic2:itemcondensators:0, RSH-Condensator
ic2:itemcondensators:1, LZH-Condensator
ic2:reactorheatpack, Heating Cell
ic2:itemreflectors:0, Neutron Reflector
ic2:itemreflectors:1, Thick Neutron Reflector
ic2:itemreflectors:2, Iridium Neutron Reflector
ic2:reactorventspread, Component Heat Vent
ic2:iteminactivefuelcell, Inactive Fuel Cell
ic2:itemnouse:0, No Use
ic2:tile.water, Water
ic2:tile.lava, Lava
opencomputers:adapter:0, Adapter
opencomputers:assembler:0, Electronics Assembler
opencomputers:cable:11250603, Cable
opencomputers:capacitor:0, Capacitor
opencomputers:case1:0, Computer Case (Tier 1)
opencomputers:case3:0, Computer Case (Tier 3)
opencomputers:case2:0, Computer Case (Tier 2)
opencomputers:chameliumblock:0, Block of Chamelium
opencomputers:charger:0, Charger
opencomputers:disassembler:0, Disassembler
opencomputers:diskdrive:0, Disk Drive
opencomputers:geolyzer:0, Geolyzer
opencomputers:hologram1:0, Hologram Projector (Tier 1)
opencomputers:hologram2:0, Hologram Projector (Tier 2)
opencomputers:keyboard:0, Keyboard
opencomputers:motionsensor:0, Motion Sensor
opencomputers:powerconverter:0, Power Converter
opencomputers:powerdistributor:0, Power Distributor
opencomputers:printer:0, 3D Printer
opencomputers:raid:0, Raid
opencomputers:redstone:0, Redstone I/O
opencomputers:relay:0, Relay
opencomputers:screen1:0, Screen (Tier 1)
opencomputers:screen3:0, Screen (Tier 3)
opencomputers:screen2:0, Screen (Tier 2)
opencomputers:rack:0, Rack
opencomputers:waypoint:0, Waypoint
opencomputers:casecreative:0, Computer Case (Creative)
opencomputers:microcontroller:0, Microcontroller
opencomputers:print:0, 3D Print
opencomputers:robotafterimage:0, Robot
opencomputers:robot:0, robot.name
opencomputers:endstone:0, End Stone
opencomputers:netsplitter:0, Net Splitter
opencomputers:transposer:0, Transposer
opencomputers:carpetedcapacitor:0, Carpeted Capacitor
opencomputers:material:1, Grog
opencomputers:material:10, Arithmetic Logic Unit (ALU)
opencomputers:material:15, Arrow Keys
opencomputers:material:14, Button Group
opencomputers:material:5, Card Base
opencomputers:material:28, Chamelium
opencomputers:material:3, Circuit Board
opencomputers:material:11, Control Unit (CU)
opencomputers:material:0, Cutting Wire
opencomputers:material:29, Diamond Chip
opencomputers:material:12, Disk Platter
opencomputers:material:23, Drone Case (Tier 1)
opencomputers:material:24, Drone Case (Tier 2)
opencomputers:material:25, Drone Case (Creative)
opencomputers:material:27, Ink Cartridge
opencomputers:material:26, Ink Cartridge (Empty)
opencomputers:material:13, Interweb
opencomputers:material:7, Microchip (Tier 1)
opencomputers:material:8, Microchip (Tier 2)
opencomputers:material:9, Microchip (Tier 3)
opencomputers:material:20, Microcontroller Case (Tier 1)
opencomputers:material:21, Microcontroller Case (Tier 2)
opencomputers:material:22, Microcontroller Case (Creative)
opencomputers:material:16, Numeric Keypad
opencomputers:material:4, Printed Circuit Board (PCB)
opencomputers:material:2, Raw Circuit Board
opencomputers:material:17, Tablet Case (Tier 1)
opencomputers:material:18, Tablet Case (Tier 2)
opencomputers:material:19, Tablet Case (Creative)
opencomputers:material:6, Transistor
opencomputers:tool:0, Analyzer
opencomputers:tool:1, Network Debugger
opencomputers:tool:4, OpenComputers Manual
opencomputers:tool:5, Nanomachines
opencomputers:tool:2, Remote Terminal
opencomputers:tool:3, Texture Picker
opencomputers:wrench, Scrench
opencomputers:hoverboots, Hover Boots
opencomputers:component:16, Accelerated Processing Unit (APU) (Tier 2)
opencomputers:component:17, Accelerated Processing Unit (APU) (Tier 3)
opencomputers:component:18, Accelerated Processing Unit (APU) (Creative)
opencomputers:component:3, Component Bus (Tier 1)
opencomputers:component:4, Component Bus (Tier 2)
opencomputers:component:5, Component Bus (Tier 3)
opencomputers:component:0, Central Processing Unit (CPU) (Tier 1)
opencomputers:component:1, Central Processing Unit (CPU) (Tier 2)
opencomputers:component:2, Central Processing Unit (CPU) (Tier 3)
opencomputers:component:20, Disk Drive
opencomputers:component:6, Memory (Tier 1)
opencomputers:component:7, Memory (Tier 1.5)
opencomputers:component:8, Memory (Tier 2)
opencomputers:component:9, Memory (Tier 2.5)
opencomputers:component:10, Memory (Tier 3)
opencomputers:component:11, Memory (Tier 3.5)
opencomputers:component:13, Server (Tier 1)
opencomputers:component:14, Server (Tier 2)
opencomputers:component:15, Server (Tier 3)
opencomputers:component:12, Server (Creative)
opencomputers:component:19, Terminal Server
opencomputers:card:10, Data Card (Tier 1)
opencomputers:card:11, Data Card (Tier 2)
opencomputers:card:12, Data Card (Tier 3)
opencomputers:card:0, Debug Card
opencomputers:card:1, Graphics Card (Tier 1)
opencomputers:card:2, Graphics Card (Tier 2)
opencomputers:card:3, Graphics Card (Tier 3)
opencomputers:card:8, Internet Card
opencomputers:card:9, Linked Card
opencomputers:card:6, Network Card
opencomputers:card:4, Redstone Card (Tier 1)
opencomputers:card:7, Wireless Network Card (Tier 2)
opencomputers:upgrade:32, Component Bus (Creative)
opencomputers:upgrade:0, Angel Upgrade
opencomputers:upgrade:1, Battery Upgrade (Tier 1)
opencomputers:upgrade:2, Battery Upgrade (Tier 2)
opencomputers:upgrade:3, Battery Upgrade (Tier 3)
opencomputers:upgrade:4, Chunkloader Upgrade
opencomputers:upgrade:5, Card Container (Tier 1)
opencomputers:upgrade:6, Card Container (Tier 2)
opencomputers:upgrade:7, Card Container (Tier 3)
opencomputers:upgrade:8, Upgrade Container (Tier 1)
opencomputers:upgrade:9, Upgrade Container (Tier 2)
opencomputers:upgrade:10, Upgrade Container (Tier 3)
opencomputers:upgrade:11, Crafting Upgrade
opencomputers:upgrade:12, Database Upgrade (Tier 1)
opencomputers:upgrade:13, Database Upgrade (Tier 2)
opencomputers:upgrade:14, Database Upgrade (Tier 3)
opencomputers:upgrade:15, Experience Upgrade
opencomputers:upgrade:16, Generator Upgrade
opencomputers:upgrade:27, Hover Upgrade (Tier 1)
opencomputers:upgrade:28, Hover Upgrade (Tier 2)
opencomputers:upgrade:17, Inventory Upgrade
opencomputers:upgrade:18, Inventory Controller Upgrade
opencomputers:upgrade:26, Leash Upgrade
opencomputers:upgrade:30, MFU
opencomputers:upgrade:19, Navigation Upgrade
opencomputers:upgrade:20, Piston Upgrade
opencomputers:upgrade:21, Sign I/O Upgrade
opencomputers:upgrade:22, Solar Generator Upgrade
opencomputers:upgrade:23, Tank Upgrade
opencomputers:upgrade:24, Tank Controller Upgrade
opencomputers:upgrade:25, Tractor Beam Upgrade
opencomputers:upgrade:29, Trading Upgrade
opencomputers:upgrade:31, Wireless Network Card (Tier 1)
opencomputers:storage:0, EEPROM
opencomputers:storage:1, Floppy Disk
opencomputers:storage:2, Hard Disk Drive (Tier 1) (1MB)
opencomputers:storage:3, Hard Disk Drive (Tier 2) (2MB)
opencomputers:storage:4, Hard Disk Drive (Tier 3) (4MB)
opencomputers:misc:1, Crecopter
opencomputers:misc:0, Microcontroller
opencomputers:misc:0, Creatix
opencomputers:misc:0, Tablet
opencomputers:misc:0, Hover Boots
opencomputers:misc:0, EEPROM (Lua BIOS)
ic2c_extras:orewashingplant, Ore Washing Plant
ic2c_extras:thermalcentrifuge, Thermal Centrifuge
ic2c_extras:thermalwasher, Thermal Washer
ic2c_extras:roller, Roller
ic2c_extras:extruder, Extruder
ic2c_extras:cutter, Cutter
ic2c_extras:impellerizedroller, Impellerized Roller
ic2c_extras:liquescentextruder, Liquescent Extruder
ic2c_extras:plasmacutter, Plasma Cutter
ic2c_extras:metalbender, Metal Bender
ic2c_extras:fluidcanningmachine, Fluid Canning Machine
ic2c_extras:treetapper, Tree Tapper
ic2c_extras:electricdisenchanter, Electric Disenchanter
ic2c_extras:autocraftingtable, Autocrafting Table
ic2c_extras:reinforcedencasedcable, Reinforced Stone Encased Cable
ic2c_extras:electricheatgenerator, Electric Heat Generator
ic2c_extras:fermenter, Fermenter
ic2c_extras:advancedsteamturbine, Advanced Steam Turbine
ic2c_extras:thermoelectricgenerator, Thermo Electric Generator
ic2c_extras:steelblock, .name
ic2c_extras:refinedironblock, .name
ic2c_extras:leadblock, .name
ic2c_extras:stonedustblock, .name
ic2c_extras:coppercasing, Copper Item Casings
ic2c_extras:tincasing, Tin Item Casings
ic2c_extras:silvercasing, Silver Item Casings
ic2c_extras:leadcasing, Lead Item Casings
ic2c_extras:ironcasing, Iron Item Casings
ic2c_extras:goldcasing, Gold Item Casings
ic2c_extras:refinedironcasing, Refined Iron Item Casings
ic2c_extras:steelcasing, Steel Item Casings
ic2c_extras:bronzecasing, Bronze Item Casings
ic2c_extras:copperplate, Copper Plate
ic2c_extras:tinplate, Tin Plate
ic2c_extras:silverplate, Silver Plate
ic2c_extras:leadplate, Lead Plate
ic2c_extras:ironplate, Iron Plate
ic2c_extras:goldplate, Gold Plate
ic2c_extras:refinedironplate, Refined Iron Plate
ic2c_extras:steelplate, Steel Plate
ic2c_extras:bronzeplate, Bronze Plate
ic2c_extras:ironcrushedore, Crushed Iron Ore
ic2c_extras:goldcrushedore, Crushed Gold Ore
ic2c_extras:coppercrushedore, Crushed Copper Ore
ic2c_extras:tincrushedore, Crushed Tin Ore
ic2c_extras:silvercrushedore, Crushed Silver Ore
ic2c_extras:leadcrushedore, Crushed Lead Ore
ic2c_extras:uraniumcrushedore, Crushed Uranium Ore
ic2c_extras:ironpurifiedcrushedore, Purified Crushed Iron Ore
ic2c_extras:goldpurifiedcrushedore, Purified Crushed Gold Ore
ic2c_extras:copperpurifiedcrushedore, Purified Crushed Copper Ore
ic2c_extras:tinpurifiedcrushedore, Purified Crushed Tin Ore
ic2c_extras:silverpurifiedcrushedore, Purified Crushed Silver Ore
ic2c_extras:leadpurifiedcrushedore, Purified Crushed Lead Ore
ic2c_extras:uraniumpurifiedcrushedore, Purified Crushed Uranium Ore
ic2c_extras:irontinydust, Tiny Piles of Iron Dust
ic2c_extras:goldtinydust, Tiny Piles of Gold Dust
ic2c_extras:coppertinydust, Tiny Piles of Copper Dust
ic2c_extras:tintinydust, Tiny Piles of Tin Dust
ic2c_extras:silvertinydust, Tiny Piles of Silver Dust
ic2c_extras:leadtinydust, Tiny Piles of Lead Dust
ic2c_extras:uranium235tinydust, Tiny Piles of Uranium 235 Dust
ic2c_extras:obsidiantinydust, Tiny Piles of Obsidian Dust
ic2c_extras:bronzetinydust, Tiny Piles of Bronze Dust
ic2c_extras:uranium238tinydust, Tiny Piles of Uranium 238 Dust
ic2c_extras:plutoniumtinydust, Tiny Piles of Plutonium Dust
ic2c_extras:thorium232tinydust, Tiny Piles of Thorium Dust
ic2c_extras:uranium233tinydust, Tiny Piles of Uranium 233 Dust
ic2c_extras:ironsmalldust, Small Piles of Iron Dust
ic2c_extras:goldsmalldust, Small Piles of Gold Dust
ic2c_extras:coppersmalldust, Small Piles of Copper Dust
ic2c_extras:tinsmalldust, Small Piles of Tin Dust
ic2c_extras:silversmalldust, Small Piles of Silver Dust
ic2c_extras:leadsmalldust, Small Piles of Lead Dust
ic2c_extras:uranium235smalldust, Small Piles of Uranium 235 Dust
ic2c_extras:obsidiansmalldust, Small Piles of Obsidian Dust
ic2c_extras:bronzesmalldust, Small Piles of Bronze Dust
ic2c_extras:uranium238smalldust, Small Piles of Uranium 238 Dust
ic2c_extras:plutoniumsmalldust, Small Piles of Plutonium Dust
ic2c_extras:leadingot, Lead Ingot
ic2c_extras:leaddust, Lead Dust
ic2c_extras:stonedust, Stone Dust
ic2c_extras:slag, Slag
ic2c_extras:uranium235, Uranium 235 Dust
ic2c_extras:uranium238, Uranium 238 Dust
ic2c_extras:plutoniumdust, Plutonium Dust
ic2c_extras:coil, Coil
ic2c_extras:heatconductor, Heat Conductor
ic2c_extras:steelingot, Steel Ingot
ic2c_extras:uranium238ingot, Uranium 238 Ingot
ic2c_extras:doubleenricheduraniumingot, Double Enriched Uranium Ingot
ic2c_extras:iridiumshard, Iridium Shard
ic2c_extras:diamonddust, Diamond Dust
ic2c_extras:energiumdust, Energium Dust
ic2c_extras:emptyfuelrod, Empty Nuclear Fuel Cell
ic2c_extras:thorium232dust, Thorium Dust
ic2c_extras:thorium232ingot, Thorium Ingot
ic2c_extras:uranium233dust, Uranium 233 Dust
ic2c_extras:uranium233ingot, Uranium 233 Ingot
ic2c_extras:plutoniumingot, Plutonium Ingot
ic2c_extras:moxfuel, MOX Fuel
ic2c_extras:denseironplate, Dense Iron Plate
ic2c_extras:blankpress, Blank Press
ic2c_extras:rollingpress, Rolling Press
ic2c_extras:extrudingpress, Extruding Press
ic2c_extras:cuttingpress, Cutting Press
ic2c_extras:lathingpress, Lathing Press
ic2c_extras:gearingpress, Gearing Press
ic2c_extras:nickelcrushedore, Crushed Nickel Ore
ic2c_extras:aluminumcrushedore, Crushed Aluminum Ore
ic2c_extras:platinumcrushedore, Crushed Platinum Ore
ic2c_extras:nickelpurifiedcrushedore, Purified Crushed Nickel Ore
ic2c_extras:aluminumpurifiedcrushedore, Purified Crushed Aluminum Ore
ic2c_extras:platinumpurifiedcrushedore, Purified Crushed Platinum Ore
ic2c_extras:nickeltinydust, Tiny Piles of Nickel Dust
ic2c_extras:aluminumtinydust, Tiny Piles of Aluminum Dust
ic2c_extras:platinumtinydust, Tiny Piles of Platinum Dust
ic2c_extras:refineduraniumore, Refined Uranium Ore
ic2c_extras:uraniumdust, Uranium Dust
ic2c_extras:uranium235ingot, Uranium 235 Ingot
ic2c_extras:denseleadplate, Dense Lead Plate
ic2c_extras:biochaff, Bio Chaff
ic2c_extras:neardepleteduranium238cell, Near-depleted Uranium 238 Cell
ic2c_extras:neardepletedplutoniumcell, Near-depleted Plutonium Cell
ic2c_extras:neardepletedmoxcell, Near-depleted MOX Cell
ic2c_extras:neardepletedthorium232cell, Near-depleted Thorium Cell
ic2c_extras:neardepleteduranium233cell, Near-depleted Uranium 233 Cell
ic2c_extras:neardepleteduranium235cell, Near-depleted Uranium 235 Cell
ic2c_extras:reenricheduranium238cell, Re-Enriched Uranium 238 Cell
ic2c_extras:reenrichedplutoniumcell, Re-Enriched Plutonium Cell
ic2c_extras:reenrichedmoxcell, Re-Enriched MOX Cell
ic2c_extras:reenrichedthorium232cell, Re-Enriched Thorium Cell
ic2c_extras:reenricheduranium233cell, Re-Enriched Uranium 233 Cell
ic2c_extras:reenricheduranium235cell, Re-Enriched Uranium 235 Cell
ic2c_extras:plutoniumrtg, Plutonium RTG
ic2c_extras:containmentbox, Containment Box
ic2c_extras:universal_fluid_cell, Universal Fluid Cell
ic2c_extras:singleuranium238cell, Uranium 238 Cell
ic2c_extras:doubleuranium238cell, Dual Uranium 238 Cell
ic2c_extras:quaduranium238cell, Quad Uranium 238 Cell
ic2c_extras:singleplutoniumcell, Plutonium Cell
ic2c_extras:doubleplutoniumcell, Dual Plutonium Cell
ic2c_extras:quadplutoniumcell, Quad Plutonium Cell
ic2c_extras:singlemoxcell, MOX Cell
ic2c_extras:doublemoxcell, Dual MOX Cell
ic2c_extras:quadmoxcell, Quad MOX Cell
ic2c_extras:singlethorium232cell, Thorium Cell
ic2c_extras:doublethorium232cell, Dual Thorium Cell
ic2c_extras:quadthorium232cell, Quad Thorium Cell
ic2c_extras:singleuranium233cell, Uranium 233 Cell
ic2c_extras:doubleuranium233cell, Dual Uranium 233 Cell
ic2c_extras:quaduranium233cell, Quad Uranium 233 Cell
ic2c_extras:singleuranium235cell, Uranium 235 Cell
ic2c_extras:doubleuranium235cell, Dual Uranium 235 Cell
ic2c_extras:quaduranium235cell, Quad Uranium 235 Cell
ic2c_extras:isotopicuranium238cell, Depleted Uranium 238 Isotope Cell
ic2c_extras:isotopicplutoniumcell, Depleted Plutonium Isotope Cell
ic2c_extras:isotopicmoxcell, Depleted MOX Isotope Cell
ic2c_extras:isotopicthorium232cell, Depleted Thorium Isotope Cell
ic2c_extras:isotopicuranium233cell, Depleted Uranium 233 Isotope Cell
ic2c_extras:isotopicuranium235cell, Depleted Uranium 235 Isotope Cell
ic2c_extras:craftinghammer, Crafting Hammer
ic2c_extras:wirecutters, Wire Cutters
malisisdoors:wood_sliding_door, Wooden Glass Door
malisisdoors:iron_sliding_door, Iron Glass Door
malisisdoors:jail_door, Jail Door
malisisdoors:laboratory_door, Laboratory Door
malisisdoors:factory_door, Factory Door
malisisdoors:shoji_door, Shoji Door
malisisdoors:curtain_white, White Curtain
malisisdoors:curtain_orange, Orange Curtain
malisisdoors:curtain_magenta, Magenta Curtain
malisisdoors:curtain_light_blue, Light Blue Curtain
malisisdoors:curtain_yellow, Yellow Curtain
malisisdoors:curtain_lime, Lime Curtain
malisisdoors:curtain_pink, Pink Curtain
malisisdoors:curtain_gray, Gray Curtain
malisisdoors:curtain_silver, SilverCurtain
malisisdoors:curtain_cyan, Cyan Curtain
malisisdoors:curtain_purple, Purple Curtain
malisisdoors:curtain_blue, Blue Curtain
malisisdoors:curtain_brown, Brown Curtain
malisisdoors:curtain_green, Green Curtain
malisisdoors:curtain_red, Red Curtain
malisisdoors:curtain_black, Black Curtain
malisisdoors:customdooritem, Custom Door
malisisdoors:saloon, Saloon Door
malisisdoors:sliding_trapdoor, Sliding Trapdoor
malisisdoors:trapdoor_acacia, Acacia Trapdoor
malisisdoors:trapdoor_birch, Birch Trapdoor
malisisdoors:trapdoor_dark_oak, Dark Oak Trapdoor
malisisdoors:trapdoor_jungle, Jungle Trapdoor
